Id,Name,Name en,Region,Created at,Updated at
55,ဖလမ်း,Falam,3,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
54,ကြို့ပင်ကောက်,Gyobingauk,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
53,မိုးညို,Monyo,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
52,နတ်တလင်း,Nattalin,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
51,ဇီးကုန်း,Zigon,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
50,အုတ်ဖို,Okpho,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
49,မင်းလှ,Minhla,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
48,လက်ပံတန်း,Letpadan,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
47,သာယာဝတီ,Thayarwaddy,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
46,ရွှေတောင်,Shwedaung,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
45,သဲကုန်း,Thegon,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
44,ပေါင်းတည်,Paungde,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
43,ပန်းတောင်း,Padaung,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
42,ပေါက်ခေါင်း,Paukkaung,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
41,ပြည်,Pyay,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
40,ထန်းတပင်,Tantabin,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
39,အုတ်တွင်း,Oktwin,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
38,ဖြူး,Pyu,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
37,ကျောက်ကြီး,Kyaukkyi,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
36,ရေတာရှည်,Yedashe,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
35,တောင်ငူ,Taungoo,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
34,ရွှေကျင်,Shwegyin,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
33,ဒိုက်ဦး,Daik-U,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
32,ကျောက်တံခါး,Kyauktaga,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
31,ညောင်လေးပင်,Nyaunglebin,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
30,ဝေါ,Waw,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
29,ကဝ,Kawa,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
28,သနပ္ပင်,Thanatpin,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
27,ပဲခူး,Bago,2,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
26,ဒေးဒရဲ,Dedaye,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
25,ဘိုကလေး,Bogale,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
24,ကျိုက်လတ်,Kyaiklat,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
23,ဖျာပုံ,Pyapon,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
22,မအူပင်,Maubin,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
21,ဓနုဖြူ,Danubyu,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
20,ညောင်တုန်း,Nyaungdon,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
19,ပန်းတနော်,Pantanaw,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
18,မော်လမြိုင်ကျွန်း,Mawlamyinegyun,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
17,လပွတ္တာ,Labutta,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
16,ဝါးခယ်မ,Wakema,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
15,အိမ်မဲ,Einme,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
14,မြောင်းမြ,Myaungmya,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
13,အဂံပူ,Ingapu,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
12,ကြံခင်း,Kyangin,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
11,မြန်အောင်,Myanaung,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
10,လေးမျက်နှာ,Laymyethna,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
9,ဇလွန်,Zalun,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
8,ဟင်္သာတ,Hinthada,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
7,ကျောင်းကုန်း,Kyaunggon,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
6,ရေကြည်,Yegyi,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
5,ကျုံပျော်,Kyonpyaw,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
4,ငပုတော,Ngaputaw,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
3,သာပေါင်း,Thabaung,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
2,ကန်ကြီးထောင့်,Kangyidaunt,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
1,ပုသိမ်,Pathein,1,2024-02-04 11:59:23 UTC,2024-02-04 11:59:23 UTC
